risk_grade,purpose,accounts,matured_accounts,exposure,avg_pd,observed_bad_accounts,observed_bad_rate_matured,expected_loss,exposure_share,el_share,data_layer,data_status,source_project,source_version,claim_boundary,as_of_period
B - Moderate,medical,2892,2661,30427650.0,0.13835108602624982,459,0.17249154453213078,1479270.638979312,0.0015670059991494435,0.0009668199728459241,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
E - Very High,car,1407,1352,11641700.0,0.28833705616633154,372,0.27514792899408286,1464862.21508631,0.0005995406723916595,0.000957402932021943,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
C - Watch,house,1404,1220,20398275.0,0.18311707071325367,289,0.23688524590163934,1423979.592815655,0.0010504991117388333,0.0009306829156084099,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
B - Moderate,house,1647,1383,27099850.0,0.13902200466903214,247,0.17859725234996385,1335537.6188407566,0.0013956262651256355,0.0008728791137727628,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
E - Very High,vacation,1694,1611,9042525.0,0.30374590826154135,403,0.250155183116077,1203763.5715974,0.0004656846954154797,0.0007867543862073417,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
A - Low,small_business,2189,2083,42086550.0,0.0852319318273173,380,0.18242918867018723,1043815.2691213121,0.002167432461379798,0.0006822155618828189,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
C - Watch,moving,1825,1733,14256450.0,0.18410474555727813,387,0.2233121754183497,996500.5612495902,0.0007341987526665412,0.0006512916704904267,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
A - Low,car,3562,3296,32439575.0,0.0852319318273173,237,0.07190533980582524,828425.6542004985,0.0016706189480573857,0.0005414414694606766,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
B - Moderate,moving,1690,1599,14806200.0,0.13767695086042817,284,0.17761100687929957,707927.7679189104,0.0007625105528887867,0.00046268660197872595,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
A - Low,house,1419,1127,27074525.0,0.08523193182731728,104,0.09228039041703638,680689.3113272771,0.0013943220425869755,0.0004448841234001891,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
B - Moderate,vacation,1975,1848,13172050.0,0.13920367093054953,304,0.1645021645021645,650120.4045800262,0.0006783527933013699,0.00042490493310699216,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
C - Watch,vacation,1431,1352,8455450.0,0.18384143548235768,253,0.1871301775147929,598950.5133362345,0.00043545067974385673,0.0003914613754784929,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
A - Low,medical,1943,1700,22719725.0,0.0852319318273173,192,0.11294117647058824,568007.1573759948,0.001170052415287595,0.0003712374531069362,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
D - High,wedding,468,468,4149625.0,0.22009218658327354,63,0.1346153846153846,398001.1468693657,0.00021370323601134196,0.0002601251237396244,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
B - Moderate,wedding,677,677,7174400.0,0.13974909855252568,74,0.10930576070901034,365455.92224019056,0.00036947736155430234,0.00023885425391829507,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Segment outcomes use matured denominator,ALL
