scenario_id,scenario,weight,weighted_flag,pd_multiplier,lgd_multiplier,ead_multiplier,total_ecl,ecl_rate,uplift_vs_base,monitoring_dimension,prior_period_status,data_layer,data_status,source_project,source_version,claim_boundary,as_of_period
upside,Upside,0.15,True,0.8,0.9,0.98,78354649.75084068,0.0664782440063234,-0.27827671378247,SCENARIO_NOT_TIME_TREND,NOT_AVAILABLE,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Scenario monitoring overlay; not current-versus-prior ECL,2018-12
base,Base,0.6,True,1.0,1.0,1.0,108566054.67379127,0.0921104324549765,0.0,SCENARIO_NOT_TIME_TREND,NOT_AVAILABLE,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Scenario monitoring overlay; not current-versus-prior ECL,2018-12
downside,Downside,0.25,True,1.35,1.15,1.03,167030112.68836367,0.1417129503227932,0.5385113992604731,SCENARIO_NOT_TIME_TREND,NOT_AVAILABLE,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Scenario monitoring overlay; not current-versus-prior ECL,2018-12
severe,Severe,0.0,False,2.0,1.3,1.08,273951009.5428664,0.2324275855495598,1.523357879827242,SCENARIO_NOT_TIME_TREND,NOT_AVAILABLE,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Scenario monitoring overlay; not current-versus-prior ECL,2018-12
probability_weighted,Probability-weighted ECL,1.0,True,,,,118650358.4389918,0.1006662336546327,0.0928863427477477,SCENARIO_NOT_TIME_TREND,NOT_AVAILABLE,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Scenario monitoring overlay; not current-versus-prior ECL,2018-12
