period,eligibility_status,score_threshold,total_accounts,bad_accounts,good_accounts,cumulative_bad_accounts,cumulative_good_accounts,cumulative_bad_share,cumulative_good_share,ks_gap,data_layer,data_status,source_project,source_version,claim_boundary,as_of_period
2010-06,ELIGIBLE,0.3317074291315068,18,6,12,6,12,0.030612244897959183,0.013201320132013201,0.01741092476594598,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Threshold-level tie-safe KS evidence; score ties are aggregated before cumulative shares,2010-06
2010-06,ELIGIBLE,0.2707462755231136,53,18,35,24,47,0.12244897959183673,0.0517051705170517,0.07074380907478503,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Threshold-level tie-safe KS evidence; score ties are aggregated before cumulative shares,2010-06
2010-06,ELIGIBLE,0.2496591956255188,67,13,54,37,101,0.18877551020408162,0.1111111111111111,0.07766439909297052,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Threshold-level tie-safe KS evidence; score ties are aggregated before cumulative shares,2010-06
2010-06,ELIGIBLE,0.2203391130888445,76,19,57,56,158,0.2857142857142857,0.17381738173817382,0.11189690397611188,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Threshold-level tie-safe KS evidence; score ties are aggregated before cumulative shares,2010-06
2010-06,ELIGIBLE,0.2056294882353393,64,17,47,73,205,0.37244897959183676,0.22552255225522552,0.14692642733661124,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Threshold-level tie-safe KS evidence; score ties are aggregated before cumulative shares,2010-06
2010-06,ELIGIBLE,0.1913770585553211,131,32,99,105,304,0.5357142857142857,0.33443344334433445,0.20128084236995125,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Threshold-level tie-safe KS evidence; score ties are aggregated before cumulative shares,2010-06
2010-06,ELIGIBLE,0.1754251700680272,117,20,97,125,401,0.6377551020408163,0.44114411441144114,0.19661098762937518,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Threshold-level tie-safe KS evidence; score ties are aggregated before cumulative shares,2010-06
2010-06,ELIGIBLE,0.1462936758463045,133,17,116,142,517,0.7244897959183674,0.5687568756875687,0.15573292023079865,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Threshold-level tie-safe KS evidence; score ties are aggregated before cumulative shares,2010-06
2010-06,ELIGIBLE,0.1311719051026586,205,34,171,176,688,0.8979591836734694,0.7568756875687569,0.1410834961047125,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Threshold-level tie-safe KS evidence; score ties are aggregated before cumulative shares,2010-06
2010-06,ELIGIBLE,0.0852319318273173,241,20,221,196,909,1.0,1.0,0.0,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Threshold-level tie-safe KS evidence; score ties are aggregated before cumulative shares,2010-06
2010-07,ELIGIBLE,0.3317074291315068,19,7,12,7,12,0.0440251572327044,0.011483253588516746,0.03254190364418765,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Threshold-level tie-safe KS evidence; score ties are aggregated before cumulative shares,2010-07
2010-07,ELIGIBLE,0.2707462755231136,36,7,29,14,41,0.0880503144654088,0.03923444976076555,0.04881586470464325,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Threshold-level tie-safe KS evidence; score ties are aggregated before cumulative shares,2010-07
2010-07,ELIGIBLE,0.2496591956255188,88,18,70,32,111,0.20125786163522014,0.10622009569377991,0.09503776594144023,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Threshold-level tie-safe KS evidence; score ties are aggregated before cumulative shares,2010-07
2010-07,ELIGIBLE,0.2203391130888445,84,16,68,48,179,0.3018867924528302,0.17129186602870813,0.13059492642412204,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Threshold-level tie-safe KS evidence; score ties are aggregated before cumulative shares,2010-07
2010-07,ELIGIBLE,0.2056294882353393,66,9,57,57,236,0.3584905660377358,0.22583732057416267,0.13265324546357316,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Threshold-level tie-safe KS evidence; score ties are aggregated before cumulative shares,2010-07
