metric,reference_period,current_period,prior_period,current_value,prior_value,change,current_matured_accounts,prior_matured_accounts,data_layer,data_status,source_project,source_version,claim_boundary,as_of_period
observed_bad_rate_matured,2014-01_to_2015-12,2017-12,2017-11,0.21353907416625187,0.2088366705278835,0.00470240363836838,10045,12086,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Latest eligible versus prior eligible cohort,2017-12
avg_pd_matured,2014-01_to_2015-12,2017-12,2017-11,0.18465557190406956,0.18746047324197712,-0.0028049013379075616,10045,12086,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Latest eligible versus prior eligible cohort,2017-12
calibration_gap_matured,2014-01_to_2015-12,2017-12,2017-11,0.02888350226218231,0.021376197285906368,0.007507304976275941,10045,12086,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Latest eligible versus prior eligible cohort,2017-12
exposure,2014-01_to_2015-12,2017-12,2017-11,149741725.0,174447200.0,-24705475.0,10045,12086,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Latest eligible versus prior eligible cohort,2017-12
expected_loss,2014-01_to_2015-12,2017-12,2017-11,10569204.111432798,12531971.861707877,-1962767.7502750792,10045,12086,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Latest eligible versus prior eligible cohort,2017-12
stage2_proxy_share,2014-01_to_2015-12,2017-12,2017-11,0.4011946241911399,0.42123117656792985,-0.020036552376789973,10045,12086,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Latest eligible versus prior eligible cohort,2017-12
approval_rate_25pct,2014-01_to_2015-12,2017-12,2017-11,0.8413140866102539,0.8317888465993711,0.00952524001088273,10045,12086,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Latest eligible versus prior eligible cohort,2017-12
