feature,baseline_period,baseline_rows,missing_treatment,bin_edges
pd,2014-01_to_2015-12,598645,Excluded from numeric bins; missing rate monitored separately,"[null, 0.13117191, 0.14629368, 0.17542517, 0.19137706, 0.20562949, 0.22033911, 0.2496592, 0.27074628, null]"
scorecard_points,2014-01_to_2015-12,598645,Excluded from numeric bins; missing rate monitored separately,"[null, 455.37756313, 463.28289374, 475.05965255, 481.39184027, 487.85605719, 495.54332839, 511.14721837, 520.28419548, null]"
fico,2014-01_to_2015-12,598645,Excluded from numeric bins; missing rate monitored separately,"[null, 672.0, 677.0, 682.0, 687.0, 697.0, 702.0, 717.0, 737.0, null]"
dti,2014-01_to_2015-12,598645,Excluded from numeric bins; missing rate monitored separately,"[null, 7.72, 10.91, 13.43, 15.75, 18.04, 20.42, 23.07, 26.18, 30.22, null]"
loan_amount,2014-01_to_2015-12,598645,Excluded from numeric bins; missing rate monitored separately,"[null, 5000.0, 7000.0, 9200.0, 10500.0, 12550.0, 15000.0, 18000.0, 21150.0, 28000.0, null]"
