period,feature,current_rows,baseline_rows,current_mean,baseline_mean,current_missing_rate,baseline_missing_rate,psi_vs_development_baseline,status,reference_period,prior_psi,psi_change,is_current_model_period,data_layer,data_status,source_project,source_version,claim_boundary,as_of_period
2008-07,dti,141,598645,13.169645390070922,18.568494533488128,0.0,0.0,1.420893453775666,RED,2014-01_to_2015-12,1.7297420693913688,-0.30884861561570287,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2008-07
2008-08,dti,100,598645,13.919,18.568494533488128,0.0,0.0,1.3447814819617858,RED,2014-01_to_2015-12,1.420893453775666,-0.07611197181388007,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2008-08
2008-09,dti,57,598645,13.985263157894739,18.568494533488128,0.0,0.0,1.521575877248107,RED,2014-01_to_2015-12,1.3447814819617858,0.17679439528632113,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2008-09
2008-10,dti,122,598645,12.26844262295082,18.568494533488128,0.0,0.0,1.66361290308061,RED,2014-01_to_2015-12,1.521575877248107,0.142037025832503,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2008-10
2008-11,dti,209,598645,12.292153110047849,18.568494533488128,0.0,0.0,2.5504675673431407,RED,2014-01_to_2015-12,1.66361290308061,0.8868546642625308,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2008-11
2008-12,dti,253,598645,13.093636363636364,18.568494533488128,0.0,0.0,2.5117053252195913,RED,2014-01_to_2015-12,2.5504675673431407,-0.038762242123549395,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2008-12
2009-01,dti,269,598645,12.251635687732342,18.568494533488128,0.0,0.0,2.607351734385705,RED,2014-01_to_2015-12,2.5117053252195913,0.09564640916611378,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2009-01
2009-02,dti,302,598645,12.851192052980132,18.568494533488128,0.0,0.0,2.5633153982899852,RED,2014-01_to_2015-12,2.607351734385705,-0.044036336095719886,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2009-02
2009-03,dti,324,598645,12.232191358024691,18.568494533488128,0.0,0.0,2.566146980146364,RED,2014-01_to_2015-12,2.5633153982899852,0.002831581856378662,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2009-03
2009-04,dti,333,598645,11.390180180180181,18.568494533488128,0.0,0.0,2.674383958946,RED,2014-01_to_2015-12,2.566146980146364,0.10823697879963623,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2009-04
2009-05,dti,359,598645,12.551253481894149,18.568494533488128,0.0,0.0,2.5264501624909568,RED,2014-01_to_2015-12,2.674383958946,-0.14793379645504334,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2009-05
2009-06,dti,406,598645,12.222487684729064,18.568494533488128,0.0,0.0,2.568183685718202,RED,2014-01_to_2015-12,2.5264501624909568,0.04173352322724533,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2009-06
2009-07,dti,411,598645,12.621946472019465,18.568494533488128,0.0,0.0,2.5249497939455408,RED,2014-01_to_2015-12,2.568183685718202,-0.04323389177266135,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2009-07
2009-08,dti,446,598645,12.955650224215246,18.568494533488128,0.0,0.0,2.4748451480841513,RED,2014-01_to_2015-12,2.5249497939455408,-0.05010464586138941,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2009-08
2009-09,dti,507,598645,12.752662721893492,18.568494533488128,0.0,0.0,2.5101506821361808,RED,2014-01_to_2015-12,2.4748451480841513,0.03530553405202941,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2009-09
2009-10,dti,604,598645,12.766307947019866,18.568494533488128,0.0,0.0,2.514198587906994,RED,2014-01_to_2015-12,2.5101506821361808,0.004047905770813376,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2009-10
2009-11,dti,662,598645,12.219305135951663,18.568494533488128,0.0,0.0,2.566710233878362,RED,2014-01_to_2015-12,2.514198587906994,0.052511645971367926,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2009-11
2009-12,dti,658,598645,12.466914893617021,18.568494533488128,0.0,0.0,2.5244099737406236,RED,2014-01_to_2015-12,2.566710233878362,-0.042300260137738466,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2009-12
2010-01,dti,662,598645,12.475891238670696,18.568494533488128,0.0,0.0,2.5435219792767887,RED,2014-01_to_2015-12,2.5244099737406236,0.0191120055361651,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2010-01
2010-02,dti,682,598645,13.369486803519061,18.568494533488128,0.0,0.0,2.4420865467598296,RED,2014-01_to_2015-12,2.5435219792767887,-0.10143543251695908,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2010-02
2010-03,dti,828,598645,13.466570048309178,18.568494533488128,0.0,0.0,2.4354484897246786,RED,2014-01_to_2015-12,2.4420865467598296,-0.006638057035150968,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2010-03
2010-04,dti,912,598645,12.759945175438595,18.568494533488128,0.0,0.0,2.526967801963954,RED,2014-01_to_2015-12,2.4354484897246786,0.09151931223927523,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2010-04
2010-05,dti,989,598645,13.169049544994945,18.568494533488128,0.0,0.0,2.4589454859137154,RED,2014-01_to_2015-12,2.526967801963954,-0.06802231605023845,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2010-05
2010-06,dti,1105,598645,12.900180995475115,18.568494533488128,0.0,0.0,2.486766843703535,RED,2014-01_to_2015-12,2.4589454859137154,0.027821357789819423,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2010-06
2010-07,dti,1204,598645,13.001852159468438,18.568494533488128,0.0,0.0,2.4748405201775228,RED,2014-01_to_2015-12,2.486766843703535,-0.011926323526012084,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2010-07
2010-08,dti,1175,598645,13.386408510638299,18.568494533488128,0.0,0.0,2.439400288283963,RED,2014-01_to_2015-12,2.4748405201775228,-0.035440231893559826,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2010-08
2010-09,dti,1189,598645,13.143221194280908,18.568494533488128,0.0,0.0,2.473480211280478,RED,2014-01_to_2015-12,2.439400288283963,0.034079922996514966,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2010-09
2010-10,dti,1232,598645,13.222905844155846,18.568494533488128,0.0,0.0,2.457605911025441,RED,2014-01_to_2015-12,2.473480211280478,-0.015874300255037,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2010-10
2010-11,dti,1224,598645,13.118333333333332,18.568494533488128,0.0,0.0,2.4684397274746095,RED,2014-01_to_2015-12,2.457605911025441,0.010833816449168587,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2010-11
2010-12,dti,1335,598645,13.013198501872662,18.568494533488128,0.0,0.0,2.4827175231249736,RED,2014-01_to_2015-12,2.4684397274746095,0.014277795650364133,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2010-12
2011-01,dti,1380,598645,13.544282608695653,18.568494533488128,0.0,0.0,1.4995446377764758,RED,2014-01_to_2015-12,2.4827175231249736,-0.9831728853484978,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2011-01
2011-02,dti,1298,598645,13.792850539291216,18.568494533488128,0.0,0.0,1.3831704146286152,RED,2014-01_to_2015-12,1.4995446377764758,-0.11637422314786061,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2011-02
2011-03,dti,1448,598645,13.585883977900552,18.568494533488128,0.0,0.0,1.4276878203886754,RED,2014-01_to_2015-12,1.3831704146286152,0.044517405760060136,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2011-03
2011-04,dti,1563,598645,13.796609085092769,18.568494533488128,0.0,0.0,1.3601227357089534,RED,2014-01_to_2015-12,1.4276878203886754,-0.067565084679722,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2011-04
2011-05,dti,1704,598645,13.603127934272303,18.568494533488128,0.0,0.0,1.4466404190822222,RED,2014-01_to_2015-12,1.3601227357089534,0.08651768337326882,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2011-05
2011-06,dti,1835,598645,13.811367847411445,18.568494533488128,0.0,0.0,1.369104763419549,RED,2014-01_to_2015-12,1.4466404190822222,-0.07753565566267318,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2011-06
2011-07,dti,1875,598645,13.837653333333332,18.568494533488128,0.0,0.0,1.3745515367990395,RED,2014-01_to_2015-12,1.369104763419549,0.0054467733794905104,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2011-07
2011-08,dti,1934,598645,13.650558428128232,18.568494533488128,0.0,0.0,1.403657220819881,RED,2014-01_to_2015-12,1.3745515367990395,0.02910568402084146,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2011-08
2011-09,dti,2067,598645,13.637987421383649,18.568494533488128,0.0,0.0,1.4121395736742,RED,2014-01_to_2015-12,1.403657220819881,0.008482352854318975,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2011-09
2011-10,dti,2118,598645,13.909641170915958,18.568494533488128,0.0,0.0,1.3576691431496606,RED,2014-01_to_2015-12,1.4121395736742,-0.05447043052453937,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2011-10
2011-11,dti,2232,598645,14.032047491039426,18.568494533488128,0.0,0.0,1.396846714778579,RED,2014-01_to_2015-12,1.3576691431496606,0.03917757162891844,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2011-11
2011-12,dti,2267,598645,14.594715483017204,18.568494533488128,0.0,0.0,1.3393085985927113,RED,2014-01_to_2015-12,1.396846714778579,-0.05753811618586768,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2011-12
2012-01,dti,2602,598645,14.617171406610302,18.568494533488128,0.0,0.0,1.347323554973391,RED,2014-01_to_2015-12,1.3393085985927113,0.008014956380679727,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2012-01
2012-02,dti,2560,598645,14.501359374999998,18.568494533488128,0.0,0.0,1.3469965465482432,RED,2014-01_to_2015-12,1.347323554973391,-0.00032700842514787887,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2012-02
2012-03,dti,2914,598645,14.560178448867536,18.568494533488128,0.0,0.0,1.3282317596021105,RED,2014-01_to_2015-12,1.3469965465482432,-0.018764786946132705,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2012-03
2012-04,dti,3230,598645,14.556340557275544,18.568494533488128,0.0,0.0,1.3383777774160706,RED,2014-01_to_2015-12,1.3282317596021105,0.010146017813960073,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2012-04
2012-05,dti,3400,598645,14.695167647058826,18.568494533488128,0.0,0.0,1.3760733850222342,RED,2014-01_to_2015-12,1.3383777774160706,0.03769560760616364,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2012-05
2012-06,dti,3817,598645,16.66596279800891,18.568494533488128,0.0,0.0,0.07583489629854862,GREEN,2014-01_to_2015-12,1.3760733850222342,-1.3002384887236855,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2012-06
2012-07,dti,4627,598645,17.565800734817376,18.568494533488128,0.0,0.0,0.02047514899177848,GREEN,2014-01_to_2015-12,0.07583489629854862,-0.05535974730677014,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2012-07
2012-08,dti,5419,598645,17.33760287875992,18.568494533488128,0.0,0.0,0.03424440455286913,GREEN,2014-01_to_2015-12,0.02047514899177848,0.01376925556109065,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2012-08
2012-09,dti,6087,598645,17.417082306554953,18.568494533488128,0.0,0.0,0.023137011666458627,GREEN,2014-01_to_2015-12,0.03424440455286913,-0.011107392886410505,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2012-09
2012-10,dti,6263,598645,17.621317260098994,18.568494533488128,0.0,0.0,0.018074907430463253,GREEN,2014-01_to_2015-12,0.023137011666458627,-0.005062104235995374,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2012-10
2012-11,dti,6382,598645,17.868973675963648,18.568494533488128,0.0,0.0,0.01806714408697941,GREEN,2014-01_to_2015-12,0.018074907430463253,-7.763343483842972e-06,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2012-11
2012-12,dti,6066,598645,17.36513353115727,18.568494533488128,0.0,0.0,0.0299367470245568,GREEN,2014-01_to_2015-12,0.01806714408697941,0.01186960293757739,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2012-12
2013-01,dti,6872,598645,17.39537252619325,18.568494533488128,0.0,0.0,0.031507665993963964,GREEN,2014-01_to_2015-12,0.0299367470245568,0.0015709189694071632,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2013-01
2013-02,dti,7561,598645,17.94566856235948,18.568494533488128,0.0,0.0,0.021192917890337795,GREEN,2014-01_to_2015-12,0.031507665993963964,-0.010314748103626169,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2013-02
2013-03,dti,8273,598645,17.617907651396106,18.568494533488128,0.0,0.0,0.026738922019914138,GREEN,2014-01_to_2015-12,0.021192917890337795,0.005546004129576343,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2013-03
2013-04,dti,9419,598645,17.06183671302686,18.568494533488128,0.0,0.0,0.04064254722286111,GREEN,2014-01_to_2015-12,0.026738922019914138,0.013903625202946975,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2013-04
2013-05,dti,10350,598645,17.155704347826088,18.568494533488128,0.0,0.0,0.04793069250978431,GREEN,2014-01_to_2015-12,0.04064254722286111,0.007288145286923196,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2013-05
2013-06,dti,10899,598645,17.007166712542436,18.568494533488128,0.0,0.0,0.050719102970521304,GREEN,2014-01_to_2015-12,0.04793069250978431,0.0027884104607369953,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2013-06
2013-07,dti,11910,598645,16.892461796809403,18.568494533488128,0.0,0.0,0.056031879488300504,GREEN,2014-01_to_2015-12,0.050719102970521304,0.0053127765177792,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2013-07
2013-08,dti,12674,598645,16.784952658986903,18.568494533488128,0.0,0.0,0.06725319489324864,GREEN,2014-01_to_2015-12,0.056031879488300504,0.01122131540494814,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2013-08
2013-09,dti,12987,598645,17.06944867944868,18.568494533488128,0.0,0.0,0.05213207146098669,GREEN,2014-01_to_2015-12,0.06725319489324864,-0.015121123432261956,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2013-09
2013-10,dti,14127,598645,17.436593048771854,18.568494533488128,0.0,0.0,0.039181172989556534,GREEN,2014-01_to_2015-12,0.05213207146098669,-0.012950898471430154,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2013-10
2013-11,dti,14720,598645,17.354449048913043,18.568494533488128,0.0,0.0,0.04272555957598689,GREEN,2014-01_to_2015-12,0.039181172989556534,0.003544386586430359,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2013-11
2013-12,dti,15012,598645,17.254322541966427,18.568494533488128,0.0,0.0,0.045395963767867316,GREEN,2014-01_to_2015-12,0.04272555957598689,0.0026704041918804225,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2013-12
2014-01,dti,15614,598645,17.520635967721272,18.568494533488128,0.0,0.0,0.03883043692300155,GREEN,2014-01_to_2015-12,0.045395963767867316,-0.006565526844865763,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2014-01
2014-02,dti,15205,598645,17.521336402499177,18.568494533488128,0.0,0.0,0.042172512449103285,GREEN,2014-01_to_2015-12,0.03883043692300155,0.0033420755261017315,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2014-02
2014-03,dti,16194,598645,17.38258305545264,18.568494533488128,0.0,0.0,0.04510550471167926,GREEN,2014-01_to_2015-12,0.042172512449103285,0.002932992262575977,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2014-03
2014-04,dti,18172,598645,17.243673783843278,18.568494533488128,0.0,0.0,0.048315274479409906,GREEN,2014-01_to_2015-12,0.04510550471167926,0.003209769767730644,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2014-04
2014-05,dti,18098,598645,17.294038015250305,18.568494533488128,0.0,0.0,0.045651957463173964,GREEN,2014-01_to_2015-12,0.048315274479409906,-0.0026633170162359415,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2014-05
2014-06,dti,16186,598645,17.423967008525885,18.568494533488128,0.0,0.0,0.03699890398322972,GREEN,2014-01_to_2015-12,0.045651957463173964,-0.008653053479944245,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2014-06
2014-07,dti,27547,598645,17.584555486985877,18.568494533488128,0.0,0.0,0.036465302992251446,GREEN,2014-01_to_2015-12,0.03699890398322972,-0.0005336009909782738,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2014-07
2014-08,dti,17730,598645,18.43145459672871,18.568494533488128,0.0,0.0,0.00073632370602604,GREEN,2014-01_to_2015-12,0.036465302992251446,-0.035728979286225405,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2014-08
2014-09,dti,9960,598645,18.47627108433735,18.568494533488128,0.0,0.0,0.0011734218612163337,GREEN,2014-01_to_2015-12,0.00073632370602604,0.0004370981551902937,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2014-09
2014-10,dti,36072,598645,18.82094699489909,18.568494533488128,0.0,0.0,0.0014586758815790938,GREEN,2014-01_to_2015-12,0.0011734218612163337,0.00028525402036276007,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2014-10
2014-11,dti,22957,598645,18.681599076534393,18.568494533488128,0.0,0.0,0.0013749817707628333,GREEN,2014-01_to_2015-12,0.0014586758815790938,-8.369411081626051e-05,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2014-11
