period,feature,current_rows,baseline_rows,current_mean,baseline_mean,current_missing_rate,baseline_missing_rate,psi_vs_development_baseline,status,reference_period,prior_psi,psi_change,is_current_model_period,data_layer,data_status,source_project,source_version,claim_boundary,as_of_period
2007-06,dti,23,598645,8.894347826086957,18.568494533488128,0.0,0.0,5.7190423455056525,RED,2014-01_to_2015-12,,,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2007-06
2007-07,dti,62,598645,8.905161290322583,18.568494533488128,0.0,0.0,5.245219211491333,RED,2014-01_to_2015-12,5.7190423455056525,-0.4738231340143191,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2007-07
2007-08,dti,72,598645,10.005,18.568494533488128,0.0,0.0,5.185485285737024,RED,2014-01_to_2015-12,5.245219211491333,-0.05973392575430925,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2007-08
2007-09,dti,53,598645,8.310943396226415,18.568494533488128,0.0,0.0,3.3273997105586313,RED,2014-01_to_2015-12,5.185485285737024,-1.858085575178393,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2007-09
2007-10,dti,105,598645,10.69352380952381,18.568494533488128,0.0,0.0,1.9028216618483522,RED,2014-01_to_2015-12,3.3273997105586313,-1.424578048710279,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2007-10
2007-11,dti,112,598645,11.537232142857144,18.568494533488128,0.0,0.0,1.6374988693674397,RED,2014-01_to_2015-12,1.9028216618483522,-0.2653227924809125,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2007-11
2007-12,dti,172,598645,12.315813953488373,18.568494533488128,0.0,0.0,1.52371444817827,RED,2014-01_to_2015-12,1.6374988693674397,-0.11378442118916965,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2007-12
2008-01,dti,305,598645,12.941180327868853,18.568494533488128,0.0,0.0,1.485740286762139,RED,2014-01_to_2015-12,1.52371444817827,-0.03797416141613108,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2008-01
2008-02,dti,306,598645,13.233464052287582,18.568494533488128,0.0,0.0,1.396700198663961,RED,2014-01_to_2015-12,1.485740286762139,-0.0890400880981781,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2008-02
2008-03,dti,402,598645,12.889129353233832,18.568494533488128,0.0,0.0,1.4702820945941515,RED,2014-01_to_2015-12,1.396700198663961,0.0735818959301906,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2008-03
2008-04,dti,259,598645,15.060926640926642,18.568494533488128,0.0,0.0,1.2372085338201335,RED,2014-01_to_2015-12,1.4702820945941515,-0.23307356077401797,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2008-04
2008-05,dti,115,598645,14.509652173913045,18.568494533488128,0.0,0.0,1.3386300417549326,RED,2014-01_to_2015-12,1.2372085338201335,0.1014215079347991,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2008-05
2008-06,dti,124,598645,11.506612903225808,18.568494533488128,0.0,0.0,1.7297420693913688,RED,2014-01_to_2015-12,1.3386300417549326,0.39111202763643615,False,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Period-level feature drift with fixed baseline bins,2008-06
