period,accounts,matured_accounts,excluded_immature_accounts,bad_events,good_events,eligibility_status,outcome_window,data_layer,data_status,source_project,source_version,claim_boundary,as_of_period
2009-07,411,411,0,58,353,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2009-07
2009-08,446,446,0,50,396,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2009-08
2009-09,507,507,0,66,441,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2009-09
2009-10,604,604,0,100,504,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2009-10
2009-11,662,662,0,97,565,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2009-11
2009-12,658,658,0,71,587,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2009-12
2010-01,662,662,0,92,570,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2010-01
2010-02,682,682,0,75,607,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2010-02
2010-03,828,828,0,87,741,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2010-03
2010-04,912,912,0,101,811,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2010-04
2010-05,989,989,0,144,845,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2010-05
2010-06,1105,1105,0,196,909,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2010-06
2010-07,1204,1204,0,159,1045,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2010-07
2010-08,1175,1175,0,172,1003,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2010-08
2010-09,1189,1189,0,206,983,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2010-09
2010-10,1232,1232,0,189,1043,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2010-10
2010-11,1224,1224,0,175,1049,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2010-11
2010-12,1335,1335,0,161,1174,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2010-12
2011-01,1380,1380,0,186,1194,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2011-01
2011-02,1298,1298,0,169,1129,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2011-02
2011-03,1448,1448,0,210,1238,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2011-03
2011-04,1563,1563,0,222,1341,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2011-04
2011-05,1704,1704,0,290,1414,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2011-05
2011-06,1835,1835,0,271,1564,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2011-06
2011-07,1875,1875,0,282,1593,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2011-07
2011-08,1934,1934,0,271,1663,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2011-08
2011-09,2067,2067,0,308,1759,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2011-09
2011-10,2118,2118,0,313,1805,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2011-10
2011-11,2232,2232,0,344,1888,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2011-11
2011-12,2267,2267,0,431,1836,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2011-12
2012-01,2602,2602,0,440,2162,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2012-01
2012-02,2560,2560,0,421,2139,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2012-02
2012-03,2914,2914,0,443,2471,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2012-03
2012-04,3230,3230,0,496,2734,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2012-04
2012-05,3400,3400,0,569,2831,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2012-05
2012-06,3817,3817,0,714,3103,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2012-06
2012-07,4627,4627,0,819,3808,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2012-07
2012-08,5419,5419,0,884,4535,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2012-08
2012-09,6087,6087,0,951,5136,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2012-09
2012-10,6263,6263,0,962,5301,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2012-10
2012-11,6382,6382,0,1029,5353,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2012-11
2012-12,6066,6066,0,916,5150,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2012-12
2013-01,6872,6872,0,1050,5822,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2013-01
2013-02,7561,7561,0,1160,6401,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2013-02
2013-03,8273,8273,0,1200,7073,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2013-03
2013-04,9419,9419,0,1504,7915,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2013-04
2013-05,10350,10350,0,1720,8630,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2013-05
2013-06,10899,10899,0,1761,9138,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2013-06
2013-07,11910,11910,0,1854,10056,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2013-07
2013-08,12674,12674,0,1941,10733,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2013-08
2013-09,12987,12987,0,2052,10935,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2013-09
2013-10,14127,14127,0,2217,11910,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2013-10
2013-11,14720,14720,0,2266,12454,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2013-11
2013-12,15012,15012,0,2299,12713,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2013-12
2014-01,15614,15614,0,2477,13137,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2014-01
2014-02,15205,15205,0,2525,12680,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2014-02
2014-03,16194,16194,0,2749,13445,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2014-03
2014-04,18172,18172,0,3320,14852,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2014-04
2014-05,18098,18098,0,3321,14777,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2014-05
2014-06,16186,16186,0,3125,13061,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2014-06
2014-07,27547,27547,0,5174,22373,ELIGIBLE,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2014-07
