period,accounts,matured_accounts,excluded_immature_accounts,bad_events,good_events,eligibility_status,outcome_window,data_layer,data_status,source_project,source_version,claim_boundary,as_of_period
2018-01,8575,0,8575,0,0,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2018-01
2018-02,6731,0,6731,0,0,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2018-02
2018-03,7151,0,7151,0,0,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2018-03
2018-04,6905,0,6905,0,0,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2018-04
2018-05,6619,0,6619,0,0,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2018-05
2018-06,4880,0,4880,0,0,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2018-06
2018-07,4307,0,4307,0,0,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2018-07
2018-08,3554,0,3554,0,0,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2018-08
2018-09,2420,0,2420,0,0,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2018-09
2018-10,2146,0,2146,0,0,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2018-10
2018-11,1627,0,1627,0,0,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2018-11
2018-12,1245,0,1245,0,0,NOT_ASSESSABLE_MIN_SAMPLE_OR_EVENTS,12-month matured target inherited from P3,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration population eligibility,2018-12
