scenario_id,scenario,weight,weighted_flag,pd_multiplier,lgd_multiplier,ead_multiplier,total_ecl,ecl_rate,uplift_vs_base
upside,Upside,0.15,True,0.8,0.9,0.98,78354649.75084068,0.06647824400632348,-0.27827671378247
base,Base,0.6,True,1.0,1.0,1.0,108566054.67379129,0.0921104324549765,0.0
downside,Downside,0.25,True,1.35,1.15,1.03,167030112.68836367,0.1417129503227932,0.5385113992604731
severe,Severe,0.0,False,2.0,1.3,1.08,273951009.5428664,0.23242758554955986,1.523357879827242
probability_weighted,Probability-weighted ECL,1.0,True,,,,118650358.43899179,0.10066623365463272,0.09288634274774776
