stage,accounts,ead,ecl_upside,ecl_base,ecl_downside,ecl_weighted,ecl_severe,avg_pd_12m,avg_lgd,observed_bad_rate_validation_only,weighted_ecl_rate,account_share,ecl_share
Stage 1,96455.0,648063796.0325896,20289645.501994684,28781181.122119825,46100043.34850064,31837166.335696258,81230601.7250164,0.14355713351017188,0.3506412316624332,0.1104867554818309,0.04912659298452038,0.5170020260926428,0.26832760351134083
Stage 2,90111.0,530587218.62699604,58065004.248846,79784873.55167146,120930069.33986302,86813192.10329552,192720407.81785,0.25557295681056175,0.43066950760728434,0.2748499073365072,0.1636171944132815,0.48299797390735716,0.7316723964886591
Stage 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exception,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
